experiment,sub_experiment,script,model_name,sample_index,audio_duration_sec,sampling_rate,ground_truth_transcription,predicted_transcription,wer,cer,inference_time_sec,timestamp
exp5,5b,GA19B,facebook/wav2vec2-base-960h,250,8.52,22050,I'm going overseas and I need to check my credit card works ok but ok overseas,ALL GOVAYOE FOU F LUCTU ON ROBERT CAB WAT FOWERCAT A WACAOVA FOO,1.0,0.7662,0.029,2026-04-01 22:36:04
exp5,5b,GA19B,facebook/wav2vec2-base-960h,228,6.687,22050,I need to change my address,I MEAN TO CHANGE MY GREAVE,0.3333,0.3333,0.025,2026-04-01 22:36:04
exp5,5b,GA19B,facebook/wav2vec2-base-960h,142,13.568,22050,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,O MARE YOU TOGOT MONEY O TOMORANOMDE ORNER WO WHAT'S YOU MAR TOM BA I CAN RETALL HME MY CAT U,0.8095,0.5636,0.033,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,104,2.645,22050,the App isn't working,THE UP IS WARKING,0.75,0.25,0.024,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,558,14.954,22050,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up,HITER IM UM JUST CALLING ABOUT SITTING UP A DIRECT DEVID IM I JST AHERPING THAT YOU CAN HELP ME ARE ANLY MAN BE AM ON THE OUT NOTICED ONE HOLD TO SOME ONE ABOUT IT TO HELP YOUARE SIT EVERYTHING OLP,0.5455,0.299,0.034,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,89,13.056,22050,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,AN MY BAM AMONGA LOCKMARCAGO WOSTOCADS ON THE TE FREEZER TWIN STOPON CARNFECTIONS TO YE PWISTEDA FOR ME,0.8462,0.4874,0.033,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,604,16.981,22050,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks,WER YOU AR MA A ON MIKAN AL LARGE PROCHE ON ANE OT SOSL SA ME BESSAME SCRFRICASHOULD GO ME SOLTIN AM MUCHOL HOW THAT WORKS COULD YO ITSPHINA BANKS,0.8621,0.4837,0.038,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,114,22.272,48000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you,A A A AA A HA OAHO IA O,1.0,0.9212,0.084,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,25,6.656,48000,I need to pay a bill ID like to make payment,OOMA A O O O A HA,0.9091,0.7273,0.033,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,281,2.219,48000,I want to open a joint account,O YO COULD YOU ORAAR A OUL,1.0,0.7333,0.016,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,250,8.52,48000,I'm going overseas and I need to check my credit card works ok but ok overseas,O A EOO   O E  O E,1.0,0.8182,0.039,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,228,6.687,48000,I need to change my address,LUN AH AO LO A,1.0,0.7407,0.033,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,142,13.568,48000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks,I O  AO  OHOEL YOU C OOO O O N   R,0.9524,0.8182,0.053,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,104,2.645,48000,the App isn't working,AH OH YOUR A,1.0,0.8,0.025,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,558,14.954,48000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up,O  AH  O OO R,1.0,0.9461,0.055,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,89,13.056,48000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me,A  UCH A A  CSH A O HOSH A H A A,1.0,0.8067,0.051,2026-04-01 22:36:05
exp5,5b,GA19B,facebook/wav2vec2-base-960h,604,16.981,48000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks,A O A  YOOU A   YOR OR HE HOR HOHOOG A  A I A E  YOU YO  Y YOU R HNG A R,0.9655,0.7647,0.064,2026-04-01 22:36:05
exp5,5b,GA19B,openai/whisper-small,114,22.272,8000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you," We have issues with the online banking app, which I will explain in a bit, but I'm going to try to log in on it's discussion. So what I found is that it's a great idea and really important, but it still does the same thing and it's not working. If there are any questions, please call me back in the future. Thank you.",0.5902,0.3973,1.225,2026-04-01 22:36:13
exp5,5b,GA19B,openai/whisper-small,25,6.656,8000,I need to pay a bill ID like to make payment, I'm Amis Pay Bill. I'm at Night Payment.,0.7273,0.5,0.265,2026-04-01 22:36:13
exp5,5b,GA19B,openai/whisper-small,281,2.219,8000,I want to open a joint account, I want to open a joint account.,0.0,0.0,0.17,2026-04-01 22:36:14
exp5,5b,GA19B,openai/whisper-small,250,8.52,8000,I'm going overseas and I need to check my credit card works ok but ok overseas, I'm going to have a phase and I need to take my credit card book so I can have a phase.,0.75,0.4416,0.403,2026-04-01 22:36:14
exp5,5b,GA19B,openai/whisper-small,228,6.687,8000,I need to change my address, I need to change my address.,0.0,0.0,0.153,2026-04-01 22:36:14
exp5,5b,GA19B,openai/whisper-small,142,13.568,8000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, I need to get some money here tomorrow and I'm just wondering what's next for me. I'll give you a go from the couch. Thanks.,0.5714,0.3636,0.536,2026-04-01 22:36:15
exp5,5b,GA19B,openai/whisper-small,104,2.645,8000,the App isn't working, The app isn't working.,0.0,0.0,0.14,2026-04-01 22:36:15
exp5,5b,GA19B,openai/whisper-small,558,14.954,8000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up," Hello, I'm just calling about setting up a direct edit. I'm just hoping that you could help me out. I'm going to do this on the app and I just want to talk to someone about it to help me out.",0.25,0.201,0.791,2026-04-01 22:36:16
exp5,5b,GA19B,openai/whisper-small,89,13.056,8000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me, I wanted to wash my card so I needed a freezer to stop all transactions. Can you please do that for me?,0.3846,0.2521,0.419,2026-04-01 22:36:16
exp5,5b,GA19B,openai/whisper-small,604,16.981,8000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks," I'm making a large purchase online at Cisil, sending an SMS for application data or something. I'm not sure how that works. Could you explain that? Thanks.",0.4138,0.2353,0.605,2026-04-01 22:36:17
exp5,5b,GA19B,openai/whisper-small,114,22.272,16000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you," I'm having issues with the online banking app. I'm not sure what's wrong with that. When I try to log in, it keeps crashing. So what I've done is I've deleted it and reinstalled it, but it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.",0.0984,0.0342,1.231,2026-04-01 22:36:18
exp5,5b,GA19B,openai/whisper-small,25,6.656,16000,I need to pay a bill ID like to make payment, I need to pay a bill. I'd like to make payment.,0.0,0.0,0.261,2026-04-01 22:36:18
exp5,5b,GA19B,openai/whisper-small,281,2.219,16000,I want to open a joint account, I want to open a joint account.,0.0,0.0,0.167,2026-04-01 22:36:18
exp5,5b,GA19B,openai/whisper-small,250,8.52,16000,I'm going overseas and I need to check my credit card works ok but ok overseas, I'm going overseas and I need to check my credit card works okay? Okay overseas.,0.1875,0.0779,0.325,2026-04-01 22:36:19
exp5,5b,GA19B,openai/whisper-small,228,6.687,16000,I need to change my address, I need to change my address.,0.0,0.0,0.151,2026-04-01 22:36:19
exp5,5b,GA19B,openai/whisper-small,142,13.568,16000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, I need to get some money out tomorrow and I'm just wondering what's the maximum I can withdraw from the count. Thanks.,0.1429,0.0909,0.443,2026-04-01 22:36:19
exp5,5b,GA19B,openai/whisper-small,104,2.645,16000,the App isn't working, The app isn't working.,0.0,0.0,0.138,2026-04-01 22:36:19
exp5,5b,GA19B,openai/whisper-small,558,14.954,16000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",0.2045,0.1422,0.831,2026-04-01 22:36:20
exp5,5b,GA19B,openai/whisper-small,89,13.056,16000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me," Hey mate, I'm on the lock my card. I've lost my card so I need to freeze it or stop all transactions. Can you please do that for me?",0.2692,0.1176,0.588,2026-04-01 22:36:21
exp5,5b,GA19B,openai/whisper-small,604,16.981,16000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks," Good day mate. I'm making a large purchase online at Cizzil, Sunday and SMS for a vacation goat or something. Not sure how that works. Could you explain that? Thanks.",0.4138,0.1895,0.647,2026-04-01 22:36:22
exp5,5b,GA19B,openai/whisper-small,114,22.272,22050,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you, I'm having issues with the online banking app. I'm not sure what's wrong with that. When I try to log in it keeps crashing. So what I've done is I've deleted it and reinstalled it. But it still does the same thing and it's not working. Is there any way that you can call me back and assist me? Thank you.,0.0984,0.0342,1.204,2026-04-01 22:36:23
exp5,5b,GA19B,openai/whisper-small,25,6.656,22050,I need to pay a bill ID like to make payment, I need to pay a bill. I'd like to make payment.,0.0,0.0,0.261,2026-04-01 22:36:23
exp5,5b,GA19B,openai/whisper-small,281,2.219,22050,I want to open a joint account, I want to open a joint account.,0.0,0.0,0.167,2026-04-01 22:36:23
exp5,5b,GA19B,openai/whisper-small,250,8.52,22050,I'm going overseas and I need to check my credit card works ok but ok overseas, I'm going overseas and I need to check my credit card work so I can.,0.3125,0.2078,0.311,2026-04-01 22:36:24
exp5,5b,GA19B,openai/whisper-small,228,6.687,22050,I need to change my address, I need to change my address.,0.0,0.0,0.152,2026-04-01 22:36:24
exp5,5b,GA19B,openai/whisper-small,142,13.568,22050,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, I need to get some money out tomorrow and I'm just wondering what's the next one I can withdraw from the account tax.,0.2381,0.1727,0.44,2026-04-01 22:36:24
exp5,5b,GA19B,openai/whisper-small,104,2.645,22050,the App isn't working, The app isn't working.,0.0,0.0,0.135,2026-04-01 22:36:24
exp5,5b,GA19B,openai/whisper-small,558,14.954,22050,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up," Hey there, I'm just calling about setting up a direct debit. I'm just hoping that you could help me out. I haven't been able to do this on the app and I just want to talk to someone about it to help set everything up.",0.2273,0.1618,0.843,2026-04-01 22:36:25
exp5,5b,GA19B,openai/whisper-small,89,13.056,22050,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me, I'm on the lost my card I need to freeze it to stop all transactions Can you please do that for me?,0.3462,0.2605,0.417,2026-04-01 22:36:26
exp5,5b,GA19B,openai/whisper-small,604,16.981,22050,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks," Yeah, good I might. I'm making a large purchase online at Zilf and then SMS for a vacation go or something. Not sure how that works. Could you explain that? Thanks.",0.4828,0.2549,0.663,2026-04-01 22:36:26
exp5,5b,GA19B,openai/whisper-small,114,22.272,48000,we're having issues with the online banking app I'm not sure what's wrong with but when I try to login it keeps crashing so what I've done is I've deleted it and we installed it but it still does the same thing and it's not working is there any way that you can call me back and assist me thank you, I,0.9836,0.9966,0.059,2026-04-01 22:36:26
exp5,5b,GA19B,openai/whisper-small,25,6.656,48000,I need to pay a bill ID like to make payment, Thank you.,1.0,0.8864,0.09,2026-04-01 22:36:26
exp5,5b,GA19B,openai/whisper-small,281,2.219,48000,I want to open a joint account, I,0.8571,0.9667,0.059,2026-04-01 22:36:27
exp5,5b,GA19B,openai/whisper-small,250,8.52,48000,I'm going overseas and I need to check my credit card works ok but ok overseas, Thank you.,1.0,0.9091,0.09,2026-04-01 22:36:27
exp5,5b,GA19B,openai/whisper-small,228,6.687,48000,I need to change my address,...,1.0,1.0,0.059,2026-04-01 22:36:27
exp5,5b,GA19B,openai/whisper-small,142,13.568,48000,I need to get money out tomorrow and I'm just wondering what's the maximum I can withdraw from my account thanks, you,1.0,0.9727,0.059,2026-04-01 22:36:27
exp5,5b,GA19B,openai/whisper-small,104,2.645,48000,the App isn't working, you,1.0,0.95,0.058,2026-04-01 22:36:27
exp5,5b,GA19B,openai/whisper-small,558,14.954,48000,hello I'm I'm just calling about setting up a direct debit I'm I'm just hoping that you could help me I have never do this on the app and I just want to talk to someone about it to help you said everything up, So,1.0,0.9902,0.057,2026-04-01 22:36:27
exp5,5b,GA19B,openai/whisper-small,89,13.056,48000,hey mate I'm on lock my cardos lost my card so I need the freezer to stop all transactions can you please do that for me, You,0.9615,0.9748,0.058,2026-04-01 22:36:27
exp5,5b,GA19B,openai/whisper-small,604,16.981,48000,g'day mate I'm making a large purchase online it says ill send me an SMS verification code or something not sure how that works could you explain it thanks, You,0.9655,0.9804,0.06,2026-04-01 22:36:27
